threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
1.49,26,18,251,2769,272,2780,0.005126182965299685,0.003548895899053628,0.04948738170347003,0.5459384858044164,0.05362776025236593,0.5481072555205048
1.5,25,17,246,2710,266,2721,0.004929022082018927,0.0033517350157728706,0.04850157728706624,0.5343059936908517,0.05244479495268139,0.5364747634069401
1.51,25,17,236,2663,256,2674,0.004929022082018927,0.0033517350157728706,0.04652996845425868,0.5250394321766562,0.050473186119873815,0.5272082018927445
1.52,25,17,229,2607,249,2619,0.004929022082018927,0.0033517350157728706,0.04514984227129337,0.5139984227129337,0.04909305993690852,0.5163643533123028
1.53,25,17,227,2548,247,2560,0.004929022082018927,0.0033517350157728706,0.04475552050473186,0.5023659305993691,0.048698738170347006,0.5047318611987381
1.54,25,17,221,2493,241,2505,0.004929022082018927,0.0033517350157728706,0.04357255520504732,0.49152208201892744,0.047515772870662464,0.4938880126182965
1.55,25,17,215,2430,235,2442,0.004929022082018927,0.0033517350157728706,0.042389589905362776,0.47910094637223977,0.04633280757097792,0.48146687697160884
1.56,25,17,211,2373,231,2385,0.004929022082018927,0.0033517350157728706,0.041600946372239746,0.46786277602523657,0.04554416403785489,0.4702287066246057
1.57,25,16,207,2306,227,2317,0.004929022082018927,0.0031545741324921135,0.04081230283911672,0.45465299684542587,0.04475552050473186,0.4568217665615142
1.58,25,16,202,2243,222,2254,0.004929022082018927,0.0031545741324921135,0.039826498422712936,0.4422318611987382,0.043769716088328074,0.4444006309148265
1.59,25,16,194,2156,214,2167,0.004929022082018927,0.0031545741324921135,0.038249211356466875,0.4250788643533123,0.04219242902208202,0.42724763406940064
1.6,25,16,190,2076,210,2087,0.004929022082018927,0.0031545741324921135,0.03746056782334385,0.40930599369085174,0.04140378548895899,0.41147476340694006
1.61,24,15,185,1997,204,2008,0.00473186119873817,0.0029574132492113563,0.036474763406940065,0.3937302839116719,0.04022082018927445,0.39589905362776023
1.62,23,14,179,1925,197,1935,0.004534700315457414,0.0027602523659305996,0.03529179810725552,0.37953470031545744,0.03884069400630915,0.381506309148265
1.6300000000000001,22,13,175,1851,192,1860,0.004337539432176656,0.0025630914826498424,0.03450315457413249,0.3649447949526814,0.03785488958990536,0.3667192429022082
1.6400000000000001,21,13,170,1775,186,1785,0.004140378548895899,0.0025630914826498424,0.033517350157728706,0.34996056782334384,0.03667192429022082,0.3519321766561514
1.6500000000000001,21,11,160,1704,176,1712,0.004140378548895899,0.002168769716088328,0.031545741324921134,0.3359621451104101,0.03470031545741325,0.33753943217665616
1.6600000000000001,21,11,152,1621,168,1629,0.004140378548895899,0.002168769716088328,0.02996845425867508,0.31959779179810727,0.033123028391167195,0.3211750788643533
1.67,20,11,148,1522,164,1530,0.003943217665615142,0.002168769716088328,0.02917981072555205,0.3000788643533123,0.032334384858044164,0.30165615141955837
1.68,20,11,141,1421,157,1429,0.003943217665615142,0.002168769716088328,0.02779968454258675,0.2801656151419558,0.030954258675078863,0.2817429022082019
1.69,20,10,137,1326,153,1333,0.003943217665615142,0.001971608832807571,0.02701104100946372,0.2614353312302839,0.030165615141955836,0.2628154574132492
1.7,20,9,131,1228,147,1234,0.003943217665615142,0.001774447949526814,0.02582807570977918,0.2421135646687697,0.028982649842271294,0.24329652996845424
1.71,20,8,124,1146,140,1151,0.003943217665615142,0.0015772870662460567,0.02444794952681388,0.22594637223974764,0.027602523659305992,0.22693217665615142
1.72,19,8,119,1067,135,1072,0.003746056782334385,0.0015772870662460567,0.023462145110410094,0.21037066246056782,0.02661671924290221,0.2113564668769716
1.73,18,7,113,945,128,949,0.003548895899053628,0.0013801261829652998,0.022279179810725552,0.18631703470031546,0.025236593059936908,0.1871056782334385
1.74,17,7,110,852,124,856,0.0033517350157728706,0.0013801261829652998,0.02168769716088328,0.16798107255520506,0.02444794952681388,0.16876971608832808
1.75,16,6,104,753,117,756,0.0031545741324921135,0.0011829652996845426,0.02050473186119874,0.1484621451104101,0.02306782334384858,0.14905362776025236
1.76,15,6,99,668,112,671,0.0029574132492113563,0.0011829652996845426,0.019518927444794953,0.13170347003154576,0.022082018927444796,0.13229495268138802
1.77,15,6,94,563,107,566,0.0029574132492113563,0.0011829652996845426,0.018533123028391166,0.11100157728706625,0.02109621451104101,0.11159305993690852
